case_num,days,miles,receipts,expected,predicted,error,signed_error,efficiency,spend_per_day
1,3,93.0,1.42,364.51,391.8984661949523,27.388466194952287,27.388466194952287,31.0,0.47333333333333333
2,1,55.0,3.6,126.06,116.38421520757375,9.675784792426256,-9.675784792426256,55.0,3.6
3,1,47.0,17.97,128.91,131.79165321821137,2.881653218211369,2.881653218211369,47.0,17.97
4,2,13.0,4.67,203.52,246.89057371200167,43.37057371200166,43.37057371200166,6.5,2.335
5,3,88.0,5.78,380.37,368.3939903964767,11.976009603523323,-11.976009603523323,29.333333333333332,1.9266666666666667
6,1,76.0,13.74,158.35,150.30558237104088,8.04441762895911,-8.04441762895911,76.0,13.74
7,3,41.0,4.52,320.12,296.20082791897914,23.91917208102086,-23.91917208102086,13.666666666666666,1.5066666666666666
8,1,140.0,22.71,199.68,198.8682672851574,0.8117327148426057,-0.8117327148426057,140.0,22.71
9,3,121.0,21.17,464.07,387.6171536960937,76.45284630390631,-76.45284630390631,40.333333333333336,7.0566666666666675
10,3,117.0,21.99,359.1,389.2573102558108,30.157310255810785,30.157310255810785,39.0,7.329999999999999
11,2,202.0,21.24,356.17,345.2359991496971,10.934000850302937,-10.934000850302937,101.0,10.62
12,3,80.0,21.05,366.87,358.60322601994375,8.266773980056257,-8.266773980056257,26.666666666666668,7.016666666666667
13,2,21.0,20.04,204.58,210.4484384633945,5.868438463394483,5.868438463394483,10.5,10.02
14,3,177.0,18.73,430.86,458.80662302287936,27.94662302287935,27.94662302287935,59.0,6.243333333333333
15,1,141.0,10.15,195.14,200.96096443208276,5.820964432082775,5.820964432082775,141.0,10.15
16,1,58.0,5.86,117.24,116.38421520757375,0.8557847924262489,-0.8557847924262489,58.0,5.86
17,1,133.0,8.34,179.06,198.67761948580346,19.61761948580346,19.61761948580346,133.0,8.34
18,1,59.0,8.31,120.65,101.89745986343644,18.752540136563567,-18.752540136563567,59.0,8.31
19,2,89.0,13.85,234.2,263.1315495419982,28.93154954199821,28.93154954199821,44.5,6.925
20,2,147.0,17.43,325.56,318.69350292023023,6.866497079769772,-6.866497079769772,73.5,8.715
21,5,130.0,306.9,574.1,574.4579398954008,0.3579398954008184,0.3579398954008184,26.0,61.379999999999995
22,5,173.0,1337.9,1443.96,1283.3251913120187,160.63480868798138,-160.63480868798138,34.6,267.58000000000004
23,5,592.0,433.75,869.0,900.822642493329,31.822642493329,31.822642493329,118.4,86.75
24,5,679.0,476.08,1030.41,986.88879362724,43.52120637276005,-43.52120637276005,135.8,95.216
